CustomerID,Lookalikes
C0001,"[('C0069', 0.9999999934340833), ('C0101', 0.9999999927129526), ('C0120', 0.9999999920957613)]"
C0002,"[('C0003', 0.9999999587604103), ('C0025', 0.9999999391777438), ('C0031', 0.999999926370362)]"
C0003,"[('C0031', 0.9999999800265182), ('C0025', 0.9999999601601218), ('C0136', 0.9999999592229171)]"
C0004,"[('C0169', 0.9999999926262992), ('C0017', 0.9999999922364803), ('C0165', 0.9999999836163164)]"
C0005,"[('C0069', 0.9999999890676641), ('C0127', 0.9999999826474052), ('C0026', 0.9999999761942844)]"
C0006,"[('C0126', 0.9999999998071625), ('C0171', 0.9999999961651772), ('C0082', 0.9999999748137545)]"
C0007,"[('C0146', 0.9999999999398864), ('C0048', 0.9999999917003832), ('C0183', 0.9999999916976083)]"
C0008,"[('C0113', 0.9999999935751916), ('C0086', 0.9999999910000513), ('C0160', 0.9999999891068195)]"
C0009,"[('C0150', 0.9999998103756369), ('C0167', 0.9999997596785154), ('C0092', 0.9999996923016391)]"
C0010,"[('C0049', 0.9999999256230946), ('C0091', 0.9999995921568353), ('C0134', 0.9999994631524591)]"
C0011,"[('C0139', 0.9999999996905262), ('C0057', 0.9999999979920057), ('C0173', 0.9999999945279984)]"
C0012,"[('C0194', 0.9999999976423675), ('C0065', 0.9999999922288899), ('C0179', 0.9999999764623643)]"
C0013,"[('C0099', 0.9999999917436528), ('C0054', 0.9999999782703181), ('C0082', 0.9999999766951819)]"
C0014,"[('C0144', 0.9999971772889752), ('C0119', 0.9999965874959515), ('C0002', 0.9999962047329266)]"
C0015,"[('C0063', 0.9999999756014407), ('C0131', 0.9999999283609394), ('C0177', 0.9999998831831375)]"
C0016,"[('C0115', 0.9999999976809465), ('C0050', 0.9999999973712531), ('C0074', 0.9999999969045281)]"
C0017,"[('C0169', 0.9999999999312849), ('C0165', 0.9999999966259216), ('C0161', 0.9999999934346566)]"
C0018,"[('C0041', 0.9999999986237953), ('C0090', 0.9999999942467044), ('C0156', 0.9999999922769393)]"
C0019,"[('C0142', 0.9999999927871743), ('C0073', 0.9999999835325953), ('C0071', 0.9999999665119663)]"
C0020,"[('C0198', 0.9999999993994623), ('C0130', 0.9999998298120051), ('C0005', 0.9999998066437639)]"
